TP9_Alpha,AF7_Alpha,AF8_Alpha,TP10_Alpha,TP9_Beta1,AF7_Beta1,AF8_Beta1,TP10_Beta1,TP9_Beta2,AF7_Beta2,AF8_Beta2,TP10_Beta2,TP9_Gamma1,AF7_Gamma1,AF8_Gamma1,TP10_Gamma1,TP9_Gamma2,AF7_Gamma2,AF8_Gamma2,TP10_Gamma2
6.231337569243963,3.1194298172146855,3.3064018917066895,2.7570392391206826,2.410601801960712,2.2238301956223747,3.7541892135940538,3.348352517954345,2.454137937536565,2.317534240085347,3.7904462052860906,5.679409314832984,3.6858290321938583,2.2737235393102355,3.0574407662910916,5.782923208102285,5.772858101674074,2.813870483727769,2.5576985652633706,2.206219530100036
6.42271366928881,3.0874775365859235,3.349926564317797,2.7869167601143103,2.6413402826237973,2.2554745833852876,3.8156631254865347,3.472599839824417,2.4479383275972424,2.4893245796760133,3.7844682298423806,5.774064078269076,3.6376571232671746,2.483460597468855,3.0751935310033405,6.169474288182399,5.8933883073418025,3.0662498785124748,2.517880211008797,2.198927042838989
6.637229217594739,2.958085594983433,3.277354925600096,2.790213721627363,2.5402997717423452,2.3384381848643154,3.414933409967339,3.8722089689225143,2.853163727343419,2.430120080747474,3.7731613080383104,5.811983213675367,3.7765363327470878,2.4942429633974172,3.1172417032817363,6.462985744654609,5.9334354327158,3.046225322390794,2.5291265433714867,2.2971226183503464
6.760883972749018,2.74713073189276,3.085278375439492,2.2569134136430895,2.977677797394765,2.312476053716296,3.5095880930492407,3.6458291093655086,3.425479565501182,2.1174073098637978,3.412270690519395,5.620020846638838,4.308606781932867,2.219247861693534,3.0032284650974286,6.5730248835009855,5.944145342503718,2.9509419901878737,2.6784647130714068,1.91413997344451
6.71814094594943,2.8291218435578895,2.8876499011968995,2.234595068167854,2.817105376615325,2.3096843856961993,3.5220420400514247,3.5748760440472753,3.3823403128349887,2.064986488579677,3.2865679377822703,5.365340311835504,4.319441488581682,1.9391781486048465,2.93000678043104,6.531611985945014,5.792265754164626,2.816359526300631,2.60932706275883,1.8896177088353314
6.701736733083726,2.7834907806280933,2.900481517880927,1.9559224231106893,2.821606803657158,2.091343101420923,3.4351134984696485,3.0854217743727435,3.4906427689595683,2.1433954133043978,3.0906997025713987,5.0047486623164765,4.4477720191155,1.9286461851492471,2.6946077752354722,6.379470064267562,5.53659130200145,2.8353039482320854,2.5838072267802046,1.433426770009624
6.323207701807075,2.6349350528472555,2.9606661924037834,1.7806897875315733,2.2883228584197077,1.9032121291244057,3.278086298173572,3.106225360912504,2.9471246697333546,1.6743998768420714,3.3649245340698575,4.892566834624417,4.185190205476705,1.836501453578846,2.1498454713369934,6.143119594444293,5.336943257280578,2.8711461116081782,2.4514159259523196,1.4700948118138613
6.392127462432589,2.132278096801749,3.01999198188476,1.7075494028868605,2.6496700459691334,1.7818732680678357,3.3989330425463917,3.145345785899938,3.1306734612813085,1.536467382329893,3.8617041028326327,5.162213416956369,4.404315907418971,1.6489967885695413,2.145988495424199,6.068443682683011,5.639497490986836,2.66369510037302,2.4076055373184273,1.6778111621737808
6.173646774164598,2.15992911764269,2.84482119561736,1.6720576110680232,2.4684141595877054,1.7652847510401075,3.2965738629466705,3.0333617162790802,2.7450070834201235,1.4970703885137373,3.870810459643147,5.110066405531138,4.0920407435453265,1.4328176048142645,2.2389982201800307,6.0933616717016745,5.527776870583532,2.2945317777633867,2.06371738444417,1.7364868845400159
6.1974564330641275,2.1165185266369133,2.7455340987064987,1.1191335174887909,2.261647572080769,1.8867985659676667,3.0440624405358814,2.7169872097991887,2.534625093393231,1.4187227802541749,3.674172273251848,5.16464682494564,3.677945114597064,1.3697942832225447,2.3062959016893894,6.144687495988222,5.404431728503188,2.136025351030611,1.898897633804978,1.389421343841544
