TP9_Alpha,AF7_Alpha,AF8_Alpha,TP10_Alpha,TP9_Beta1,AF7_Beta1,AF8_Beta1,TP10_Beta1,TP9_Beta2,AF7_Beta2,AF8_Beta2,TP10_Beta2,TP9_Gamma1,AF7_Gamma1,AF8_Gamma1,TP10_Gamma1,TP9_Gamma2,AF7_Gamma2,AF8_Gamma2,TP10_Gamma2
2.9999873038807388,2.1235948124937045,2.455113273538614,1.2322866063495026,0.0067790110887047325,1.6874799308809665,1.706451637454883,2.341368149570119,0.3721876316952734,0.365258979853348,1.5735160032528586,2.585283290260124,2.0060559693474156,0.748748669759587,0.8040801317242575,3.3083203364557505,2.4066473270766444,2.5633298546918484,0.6967726778811725,0.8372325062346611
2.014087997469345,1.36666115129696,2.219913865753338,0.7892033641979639,-0.23251096101259824,1.1546365299165016,1.7644438657759696,2.565834726154352,0.3935072601611778,0.1796743746277224,1.2073815740275173,2.4526339975103526,1.8949256000725696,0.628395483056494,0.7818333857875138,2.3517078405215006,2.4067096719264764,2.4125868915663786,0.9392931962525118,0.7599720046437112
2.0233803589786854,1.3074158164220493,2.2834586513142305,1.31318783165908,0.46489475799155383,1.1905602430169668,1.835421602248688,2.3129016492517347,0.29451726972516246,0.7678876647798228,1.325816789572453,2.4538834447572286,1.9278353298836564,1.050363499561328,0.8884712963288041,1.9908485764212296,1.9155935893347706,2.4746405444895245,0.9758676491626478,1.1494533114830663
2.046898196942354,1.8877693075419855,2.1582319794661107,0.9825554517021005,0.3134763237149784,0.7727746662370595,1.80492759001251,2.3400956249730127,0.4572355683224826,0.2931830003068038,1.6625592132057438,2.4322956049793456,1.7245279316376585,0.44951088064068156,0.6372252863196667,1.9863363088649333,1.9139332777268425,2.533110188342737,0.3640988956745703,0.709546947923714
2.600006644333715,1.5202603685999267,2.1082603757260316,0.7401544316505893,0.09729643907059356,1.3352576241904266,1.604567970650346,2.5643699345904367,0.7489817916740473,0.2636491951260391,1.2878310260323012,2.689007204940991,1.6503214507303734,0.9044428549421052,0.5840552454296989,3.119372270923761,2.042515884684743,2.611826977924784,0.509801366716675,0.6994398168309411
4.295298786571747,2.858698002908305,2.7750227024161394,0.9190289949736669,0.7684443378468926,3.380504112983101,2.4533408058520814,2.1837940678043744,0.5782133324561566,1.0455960896802747,1.9011925339428226,3.2608350368416583,1.9883226346698748,1.6520708377485913,1.7693552953948617,4.055713937559378,2.944154156934942,2.9906350382580524,2.015154028665771,0.8188916096765136
2.2622553660314733,2.0504109819012686,2.420688971387706,1.2014405139465194,0.476708933659079,1.468487766903878,1.91043234894929,2.527443455866238,0.27007543208050855,0.5115648850013783,0.9192485127040785,1.994567437092973,1.5703284697138242,1.0989976699355253,0.9914199784807455,2.149446485921222,1.9306583184116635,2.7206265701033554,1.0558657137971772,0.9777771367555245
2.311417445400845,1.9023861875057178,2.1465379968552627,1.2142735892242427,0.291780748548186,1.6873715390965947,1.240357041408597,2.5573869144692294,0.534252123592699,0.6522769813834545,0.816682946281113,2.4855994940699855,2.0891590761174617,0.7527594038687156,0.9175726834863126,2.362019370855951,2.1443115470665,2.500033492354024,0.9477630115701368,0.8520349236961198
2.2389157730794524,1.959493880976577,1.9857731307021786,0.7532619037397046,-0.06045225732696462,2.2558354722698297,1.3606016478041036,2.230223491100487,0.578247529428703,0.9348333023316445,1.038483156849121,2.5234954979220734,1.8657701793659598,0.7813538790476147,0.8108066978809653,1.9703231644860284,2.2794741626320354,2.4660318672485495,0.7228687183025779,0.6333633019359128
2.56168274499407,1.5980041658226003,2.051512072339301,1.0710052766057825,-0.1539666577936138,2.111165525061099,1.8861992823053348,2.214413290989039,0.4542371594855924,0.37442166422582235,1.149756623834772,2.5913292995540798,2.0962354957701805,0.8303758736935276,0.6362480145176079,2.2114395587799494,2.088627597197904,2.571008864363443,0.5521254202258361,0.5022527731262936
3.399229295607632,1.651613379751454,2.564729468414535,1.328214933970925,0.6300926009855725,0.9623775418023568,1.861019558998233,2.285852191335347,0.8033042562030355,0.15111372983237703,1.1656926230270468,2.377566774374419,1.8990413249580835,0.8179980398738124,1.234316030299301,3.1639309563650366,2.651247088927778,2.5009228243089225,0.7544573218874103,0.939384064766522
2.222932707472929,1.591592355716395,2.2439947864538774,1.4539951362643995,0.2307052255050319,1.2505619583504044,1.7197236583304238,2.2161465897529147,0.08662545785401879,0.32131502871952056,1.0102410484878415,2.631547151916325,1.7448391762626618,1.1442590183542158,1.110696933466924,2.3735099265621824,1.843404658024873,2.60103635940184,1.4227774610552637,1.2781151716819992
2.472031135089502,1.4351134141249096,2.2312040492390777,1.2473337650166338,-0.12890221705449229,0.5105974290687847,1.6660176345507884,2.276896765558288,0.3644726893385397,0.20740148117634263,1.3270334952116116,2.4236045686648353,1.4953636676255226,0.29455993161615585,0.4545265286764603,2.5973393719762954,1.7006862615352298,2.6029114939022864,0.8172957272853814,0.8960681164086569
3.0708275866215873,1.419811588504588,2.6455329120854882,1.3520741716083933,0.30896070369552403,1.5820555029511105,1.975532736408518,2.481459176222354,0.5210653072316819,0.27513433082587013,1.5275934995416722,2.122404012217431,2.063795772829119,0.5303214303038529,0.7902691372762178,3.0450033095057334,2.24623052002341,2.440857146851433,0.9001395312287221,0.778573092096729
2.080301786037812,1.563373294639822,1.986787115663155,1.1274699079169295,0.4006705464994766,1.3505496475463181,1.8091443942426582,2.671214748497766,0.47666629314593584,0.4761947007938566,0.9320143645126534,2.8014953534966356,1.7785831994567476,0.6067977956735909,1.196768233990063,2.41351226692184,2.065909123224133,2.3834141210637894,1.0343115136650893,0.9229355814564707
3.2894073680018936,1.6062643889461987,2.356513993854157,1.3785027673011594,0.3145613794091906,1.478555242618349,1.81328337643009,2.480825035822637,0.21661894661737155,0.22584852670571984,0.5475040195976039,2.5318072042011104,1.673412571995035,0.761798095874434,0.964401504319275,2.9688588055596883,1.8263809252933791,2.6346071110494176,0.7433284106262567,0.6064431062085622
2.874687337066029,1.8581323833513277,2.1617970845860666,0.9547088621777342,0.45080817028582804,1.3680131736840777,1.57150957444606,2.1778266804009903,0.6363783625684976,0.3510864480502667,1.0548327687798638,2.4792143443670165,1.6346556308690412,0.7329543828444258,0.612361630507814,2.6261550703121452,2.486471468579937,2.6889568520598197,1.1041377457051478,1.0150598393647552
