TP9_Alpha,AF7_Alpha,AF8_Alpha,TP10_Alpha,TP9_Beta1,AF7_Beta1,AF8_Beta1,TP10_Beta1,TP9_Beta2,AF7_Beta2,AF8_Beta2,TP10_Beta2,TP9_Gamma1,AF7_Gamma1,AF8_Gamma1,TP10_Gamma1,TP9_Gamma2,AF7_Gamma2,AF8_Gamma2,TP10_Gamma2
5.619042873262237,2.342408872346298,3.195225926885864,1.4386952898884369,2.6009265439028475,2.010724837665471,3.18556446107821,2.7123011170511497,2.9132773856586045,1.1726471305747124,2.2852287494367927,4.579085105837217,3.5241254308251766,1.3720809995729453,1.6937216587505242,5.399139923959128,5.23666411752237,2.2810725814467467,2.196945277072206,1.2536081184175278
6.280273976649592,2.3405845720832934,2.6142550282078947,1.3508770378472494,2.0175864520392635,1.9608210450258252,3.110738022753129,2.4944972476810015,3.16671581790001,1.8464395486868164,3.258293555403646,5.304308058372275,3.617972311742687,1.705409662229614,1.942015432677736,5.936696098728074,5.525273744789708,2.6316211213642577,1.9205291379932072,1.3998904739894533
5.654544212816825,2.4594465796916736,2.8630675680918656,0.7476110140068333,2.64451608496999,1.9159874478220704,3.0941248206019694,2.45713392410519,2.986262069543587,1.258184352974469,3.272960278782488,4.895919437088938,4.082559330389012,1.2789887073699944,1.4501785429357765,6.139054655504216,5.526833428485235,2.221173787314466,2.2620832632199943,0.4627708463198647
6.132562234592071,2.2159238389925373,2.58401580282382,1.53942871463673,1.376244411983693,1.6643355078234923,2.7733609281271696,2.6938200816580626,2.3230513891675035,0.893762895281249,3.2620311237536677,4.876921126114514,3.19256317207336,1.1913616904340618,0.9791848710079658,5.913607472115631,5.057769728881617,1.9695996781558534,1.2715912777763254,1.5675518233623205
5.901027257672031,2.110461954465728,2.863836778531224,1.9570520101479818,1.9589223606513095,1.9923439651315045,3.1369641533627504,3.095873470262937,2.4607203596951637,0.4717853664799572,2.82441133825539,4.924651329426741,3.6093691997224218,1.1176072666619528,1.6499261369021385,5.810000209136014,5.133081590911982,1.9961824185372583,1.6323176292193726,1.5892805285062834
6.017336011403286,1.7411099359693651,3.0873698496314512,1.4468317218412992,1.9911810740101823,1.6970007945265093,2.9467100024336568,2.077254542469512,2.3063265703081655,1.2217307804966298,2.5817494111798074,4.134847550282536,3.0734688951971547,1.6183497852063164,1.9245593849700973,5.823834097996333,4.724752668394257,2.2087521213808197,2.197147364332475,1.0556582588464496
6.290172810281946,2.226063966413891,3.113428875421236,0.7845280247172635,1.827978250470592,2.2553554697491207,2.743133846000783,2.143609234269996,2.8997391177411553,1.1795569257393579,3.053564514722734,4.623188346217276,3.931609606858395,1.65183421607141,2.1680014159232486,5.992081149546245,5.6155092554442385,2.521651951704975,2.0446858952477087,0.6675281755063661
6.204374590992596,2.6621015548674523,2.8526935469767603,1.1726236084893906,2.824213700977676,2.3292219876182574,3.2222018662762095,3.0633843962286016,2.8826668730829885,1.0983349787365482,3.593342955609883,4.805100462635961,4.230645887378424,1.7362677585645467,1.8207578378243752,6.089370639265516,5.4303981066225155,2.322881793596941,2.054598092915157,1.5375987887282057
6.0380605063931565,2.388517027010645,2.8229544298345894,1.0439431769562153,2.0966825775106552,1.7126675004760288,3.237258789863891,2.2128548159257777,2.5238685257372597,1.5312409562769345,3.2910396379321423,4.2643887797334274,3.435624930844688,1.54824333454845,2.1625489854144426,5.811589496967159,4.963733490319221,1.9855387838808491,2.33475440678206,0.4796926952625613
6.786751950157203,2.7420652400829106,3.1014666025506914,2.264825728361612,2.8629479642901483,2.2924843219145306,3.3473013975041055,3.6685168852152805,3.4149377609907763,2.3490817636390764,3.4980936764404413,5.656418023752633,4.209370518176613,2.2307736551457946,3.063730338114703,6.559587641552385,5.828572845478135,2.9931260959653034,2.6659942631699853,1.902684100544424
6.321994918151996,2.6752575318232363,2.870423685827363,1.818217074932794,2.407377249507861,1.942106485694908,3.284546487153567,3.068554386854102,3.020649409452626,1.7271908854522207,3.290370326041871,4.942919001164452,4.187325104342293,1.848348783210905,2.182545336840381,6.168584921497217,5.41848490760768,2.78222853173942,2.4190602028794217,1.4608925125064889
6.1862440733319035,2.122785596918855,2.84847131460977,1.200592905103998,2.3794945967352144,1.925866054357021,3.252345552032957,2.8053931805496624,2.61261473352426,1.4374490375894378,3.739148413038594,5.066040546625389,3.981416717867713,1.442231992287555,2.280896658470397,6.11863698328547,5.509346965614145,2.2419134907540754,1.9303957077245888,1.4194036016758445
6.185393912096932,1.8505264311018728,2.744692127975866,1.3746230744070604,1.9043703130352,1.608570624723145,2.9433203349850667,2.9684081703345995,2.9186655331683973,0.9427788936952859,3.138809350715551,5.165169278318966,3.4160959208718227,1.1048267564747594,1.4289088581738778,6.115341946003632,5.437017834928449,2.083351612720005,2.0622537835312915,1.373593861414494
5.924781014513006,2.145788979767586,2.6800344351333165,0.6760650789901831,2.390717720295499,1.824889680172778,3.1443653508558747,2.471006912707658,2.7141059499827502,1.1176543120611426,3.3260695231671424,4.542650897247139,3.7491236418664657,1.1299252833113156,1.2910015001327189,6.011050462016817,5.479009304839077,1.808320277628547,1.3152660974582497,0.7654552950937535
6.22223543621947,2.2736227129094533,2.9437372423991497,0.717250033275042,2.8200955813987565,1.9215124184866454,2.7398232386976527,2.390419442174975,2.8522971338856142,0.9825864710590567,3.124531631263168,4.4680881736197655,4.021690340659886,1.5998032769619779,1.4734074587283061,6.010583250441102,5.884422227616144,2.290982939090092,1.7500469343306124,0.32088710716248
6.131457535467981,2.2961053480001268,2.697368934821451,0.987953549161827,2.256315312497159,2.4102185363128945,2.5393696928080622,2.472386163104515,2.670597402705013,1.3465300610121689,3.016128521717626,4.504763013729214,3.8344966279121446,1.53124044595339,1.6930478242593958,6.035590303049068,5.673129832357155,2.265400730499079,1.636993152139899,1.1235323540839532
