TP9_Alpha,AF7_Alpha,AF8_Alpha,TP10_Alpha,TP9_Beta1,AF7_Beta1,AF8_Beta1,TP10_Beta1,TP9_Beta2,AF7_Beta2,AF8_Beta2,TP10_Beta2,TP9_Gamma1,AF7_Gamma1,AF8_Gamma1,TP10_Gamma1,TP9_Gamma2,AF7_Gamma2,AF8_Gamma2,TP10_Gamma2
3.5110264623025893,2.517196730478009,2.5405583512070584,1.1600843990504666,0.7999632052868715,1.7401583287454223,2.5445052855400663,1.927648027692716,1.700852350639232,1.8931762351754051,1.801928035897957,2.405373823498207,2.282088520084065,2.7011916662494384,1.6952608556449933,2.1893889295822326,3.1175902743586374,3.2838534404453856,1.5970080646283762,0.830781005337537
3.3827797200405514,2.576236118425857,2.430794551847753,1.338404307051547,0.813824126097612,1.5990089431755077,2.4853710946609557,1.8714420592714587,1.9486324770906003,1.7990972456552108,1.9024075184562037,2.3597836060420954,2.3418346421991445,2.438089827597553,1.4496408020679012,2.387920522437973,3.1222207581881314,3.036577590362466,1.549871715547498,0.8877416760050802
3.552521271598014,2.4701335466907164,2.499587098528066,0.9429169621479662,0.9498966854410059,1.6492839082877517,2.7539518454297567,1.6133659191447485,2.0762016880656966,1.8696218536933138,2.843806738007703,2.340525384444706,2.489724284969357,1.7244427083812948,1.3822017425613413,2.3218746892253836,3.2552042535418506,2.562847901483608,1.5807648453171448,0.6873119030174345
3.5729446294956397,2.2048294314049968,2.5958213760062203,0.9285150465125639,1.0803612991075306,1.4878093712488274,2.8271289034914364,1.571489528414862,2.213966555727275,1.6559562240864072,2.9995148738851416,2.1432217360009105,2.662143302008672,1.5634309779750268,1.7665398361416238,2.201981002370509,3.1347000846701087,2.594688855529055,1.6677658051138082,0.7234997181507952
3.8226996193956437,2.0963591403908186,2.7405652934981752,0.679895406917928,0.8953247322411023,1.8258971370432886,2.825578319286071,1.7800121026219065,2.1658667739608077,2.085604379528928,2.9819413857166777,2.176010296966918,2.585485951662938,1.694170301660719,1.935473045358074,2.493761774983089,3.0533446990188184,2.512165024047693,1.7835527122557686,0.6445973431474907
3.9691811508870867,1.980624427243515,2.684031233519312,0.8536856402851258,1.3284865622854611,1.627719485678742,2.6735491665952362,1.6923057463200202,2.3569457407471126,1.899513576506706,3.1800908612244867,2.407349453664278,2.7244879630222725,1.6617612602573548,1.9217765504418485,2.9546957734087225,3.063986945561059,2.43351781534607,2.014524679256289,0.901150279054124
3.94727198198254,2.355369472492532,2.629703668576252,0.9388107488743587,1.2405061853066761,1.9651815980367138,2.4266638347391174,2.0700096713659017,2.3586266065526975,1.921043053606483,3.088968852070025,2.5100571450855913,2.7100952311432005,1.7824922443188678,1.8028786794048763,2.9441574278567284,3.110279215982119,2.3148528748871415,1.8530554341534262,0.8416262318259936
3.5365944242223772,2.2464501162576394,2.3883644305309613,1.179368038026878,1.2337369909293467,1.9319001560269649,2.2772032242650004,2.1015265212784677,2.0546334337662824,1.5027716782807676,3.1571890936691522,2.516603294393317,2.7783707445060077,1.6705263549160778,1.7013009175938874,2.72356027882443,3.008093349588412,2.3053628285982706,1.9289894605580513,0.7059260652910649
3.0145054303015586,2.255926706694494,2.4188623035291346,1.1347597168852777,1.1005834834128057,2.101153444070874,1.8202015108890786,2.313786014915121,1.7057075638263743,1.5734455987992566,2.1183902170155298,2.3416327237312795,2.499412252272851,1.6532706474489327,1.3964600854853169,2.331514441013077,2.821975854055356,2.5135275506113723,1.456476226738385,0.6171556014972003
3.3619172559296526,1.833840465935011,2.2575226143839484,1.3322629786470719,1.1006679777682054,1.8093097721550115,2.157207289807264,2.358458117326823,2.201416623669964,1.58997767295867,2.5710651649552756,2.5223177369622594,2.4065345232688515,1.3690537847309778,1.5798346701296893,2.531757472463724,2.890586570672218,2.486926022771919,1.629640966072328,0.9134976712683158
